Louisiana Secretary of State
Office Jurisdiction Report
For Election <No Election> AND Parish <Multi_Parish> AND Office State Representative AND District <Multiple>
State Representative 1st Representative District
CADDO
09 00 01-01
09 00 01-02
09 00 01-03
09 00 01-04
09 00 01-05
09 00 01-06
09 00 01-07
09 00 01-08
09 00 01-09
09 00 01-10
09 00 01-11
09 00 01-12
09 00 01-13
09 00 01-14
09 00 02-01
09 00 02-02
09 00 02-04
09 00 03-01
09 00 06-10
09 00 11-01
09 00 11-02
09 00 11-06
09 00 11-09
09 00 11-10
09 00 12-01
09 00 12-03
09 00 12-07
09 00 12-08
09 00 12-09
Precinct Count: 29
Total Parishes in the Office: 1
Total Precincts in the Office: 29
State Representative 2nd Representative District
BOSSIER
08 02 05A
08 02 06
08 02 08
08 02 12A
08 02 12B
08 02 13
08 02 23
08 04 08D
Precinct Count: 8
CADDO
09 00 02-10
09 00 02-11
09 00 02-12
09 00 03-02
09 00 03-04
09 00 03-05
09 00 03-06
09 00 03-07
09 00 03-08
PRODUCTION Print Date: 5/2/2025 3:12:20 PM Page: 1Louisiana Secretary of State
Office Jurisdiction Report
For Election <No Election> AND Parish <Multi_Parish> AND Office State Representative AND District <Multiple>
09 00 03-09
09 00 04-01
09 00 04-02
09 00 05-01
09 00 05-02
09 00 05-03
09 00 05-04
09 00 05-05
09 00 05-06
09 00 05-07
Precinct Count: 19
Total Parishes in the Office: 2
Total Precincts in the Office: 27
State Representative 3rd Representative District
CADDO
09 00 05-08
09 00 05-09
09 00 05-11
09 00 06-02
09 00 06-03
09 00 06-04
09 00 06-05
09 00 06-07
09 00 07-05
09 00 07-06
09 00 07-08
09 00 07-09
09 00 10-01
09 00 10-03
09 00 10-04
09 00 10-05
09 00 10-06
09 00 10-07
09 00 10-08
09 00 10-09
09 00 11-04
09 00 11-05
Precinct Count: 22
Total Parishes in the Office: 1
Total Precincts in the Office: 22
State Representative 4th Representative District
CADDO
09 00 02-03
09 00 02-05
09 00 02-06
09 00 02-07
09 00 02-08
09 00 02-09
09 00 03-03
09 00 06-06
09 00 06-08
09 00 06-09
09 00 07-01
PRODUCTION Print Date: 5/2/2025 3:12:20 PM Page: 2Louisiana Secretary of State
Office Jurisdiction Report
For Election <No Election> AND Parish <Multi_Parish> AND Office State Representative AND District <Multiple>
09 00 07-02
09 00 07-03
09 00 07-04
09 00 07-07
09 00 07-10
09 00 12-02
09 00 12-04
09 00 12-05
09 00 12-06
09 00 12-10
09 00 12-11
Precinct Count: 22
Total Parishes in the Office: 1
Total Precincts in the Office: 22
State Representative 5th Representative District
BOSSIER
08 01 01
08 01 02
08 01 03
08 01 03A
08 01 03B
08 01 05
08 04 07A
08 04 07B
08 04 08B -1
08 04 08B -2
08 04 08C
08 04 08E
08 04 08G
08 04 09
08 04 10 -1
08 04 10 -2
Precinct Count: 16
CADDO
09 00 09-01
09 00 09-04
09 00 09-05
09 00 09-06
09 00 09-07
09 00 09-09
09 00 09-10
09 00 09-11
09 00 09-12
09 00 09-13
Precinct Count: 10
RED RIVER
41 *ALL *ALL
